Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
Nazmul Hossain ,2004-2012,38,21,13,35,6,4.37,128,27.34,0,0,4,SL
JO Ngoche ,2010-2013,17,11,4,35,21,5.0,85,41.17,0,0,4,PAK
KT Sandher ,2006-2007,15,10,4,35,12,5.83,107,32.71,0,0,1,USA
AR Tait ,1998-1999,5,5,2,35,13,11.66,32,109.37,0,0,0,INDIA
SD Udal ,1994-2005,11,7,4,35,11,11.66,46,76.08,0,0,1,PAK
MWA van Nierop ,2006-2006,2,2,1,35,31,35.0,49,71.42,0,0,0,PAK
SM Warnapura ,2007-2008,3,3,0,35,30,11.66,76,46.05,0,0,1,ENG
Zulfiqar Babar ,2014-2015,5,5,3,35,14,17.5,40,87.5,0,0,0,NZ
RP Alexander ,2004-2004,2,2,0,34,26,17.0,75,45.33,0,0,0,SL
SA Ankola ,1989-1997,20,13,4,34,9,3.77,42,80.95,0,0,5,ENG
Ata-ur-Rehman ,1992-1996,30,13,6,34,11,4.85,76,44.73,0,0,2,KENYA
Atiq-uz-Zaman ,2000-2000,3,3,1,34,18,17.0,36,94.44,0,0,0,ZIM
ID Austin ,1998-1999,9,6,1,34,11,6.8,49,69.38,0,0,0,PAK
RO Collinge ,1973-1978,15,9,3,34,9,5.66,62,54.83,0,0,1,AUS
